Provisional Final Fantasy IV ROM Map

Last Updated: 2024-05-15 16:06:36 UTC

The following is a provisional ROM map of Final Fantasy IV. It is currently
automatically generated from the source files of an incomplete disassembly of
the game. As such, things may be mislabeled or otherwise incorrect. Use this
information at your own risk. Here is a brief description of each field:

Label           A descriptive-ish name given to the region of code or data. May
                or may not be specific enough to accurately describe the region.
                Labels prefixed by underscores are subroutines expected to be
                used within the same bank (JSR/RTS). Other subroutines should be
                accessed with JSL/RTL. Most data blocks are suffixed with _data,
                but there are some scragglers that slipped through. Labels that
                start with CODE_ or DATA_ are ones that I have not bothered to
                accurately label yet beyond their use as code or data.

Mapped Address  The address of the region as accessed on the SNES system bus.
                Unless you have a particularly good reason (editing a file
                directly in a hex editor), you should always be use this
                address, as any written pointers will need to be written in
                this form anyway.

Binary Address  The address of the region in the actual ROM dump. As far as the
                game itself is concerned, this address does not exist. It is
                primarily useful for direct hex editing, but its use should
                otherwise be limited.

Type            A vague description of what this region contains.

Size            The size of the region in bytes. Do note that since a single
                logical region can occasionally have multiple labels, this value
                is not necessarily accurate.

+-----------------------------------------------------------------------+---------------------+-------------------+---------+--------+
|                                 Label                                 |   Mapped Address    |  Binary Address   |  Type   |  Size  |
| _menu_shop_buy_check_and_run                                          | $01:C3DA - $01:C3E6 | $00C3DA - $00C3E6 | Code    |     13 |
| _menu_shop_buy_full_inventory                                         | $01:C3E7 - $01:C3FE | $00C3E7 - $00C3FE | Code    |     24 |
| _menu_shop_buy_main                                                   | $01:C3FF - $01:C46E | $00C3FF - $00C46E | Code    |    112 |
| _menu_shop_update_item_prices                                         | $01:C46F - $01:C474 | $00C46F - $00C474 | Code    |      6 |
| _menu_shop_load_items                                                 | $01:C475 - $01:C562 | $00C475 - $00C562 | Code    |    238 |
| menu_shop_buy_item_name_coordinates_data                              | $01:C563 - $01:C572 | $00C563 - $00C572 | Data    |     16 |
| menu_shop_buy_item_price_coordinates_data                             | $01:C573 - $01:C582 | $00C573 - $00C582 | Data    |     16 |
| _menu_shop_load_items_increment_buy_items_ptr                         | $01:C583 - $01:C589 | $00C583 - $00C589 | Code    |      7 |
| _menu_shop_buy_core                                                   | $01:C58A - $01:C639 | $00C58A - $00C639 | Code    |    176 |
| _menu_shop_execute_purchase                                           | $01:C63A - $01:C746 | $00C63A - $00C746 | Code    |    269 |
| _menu_shop_update_character_poses                                     | $01:C747 - $01:C775 | $00C747 - $00C775 | Code    |     47 |
| _menu_shop_update_character_pose_if_can_equip                         | $01:C776 - $01:C792 | $00C776 - $00C792 | Code    |     29 |
| _menu_shop_sell                                                       | $01:C793 - $01:C81D | $00C793 - $00C81D | Code    |    139 |
| _menu_shop_handle_sale_inventory                                      | $01:C81E - $01:C90A | $00C81E - $00C90A | Code    |    237 |
| _menu_shop_handle_sale_confirmation                                   | $01:C90B - $01:CA70 | $00C90B - $00CA70 | Code    |    358 |
| _menu_copy_cursor_1                                                   | $01:CA71 - $01:CA7E | $00CA71 - $00CA7E | Code    |     14 |
| _menu_shop_buy_draw_price                                             | $01:CA7F - $01:CAD7 | $00CA7F - $00CAD7 | Code    |     89 |
| _menu_shop_initialize_buy_sell_cursor_rows                            | $01:CAD8 - $01:CAE1 | $00CAD8 - $00CAE1 | Code    |     10 |
| _menu_shop_draw_quantity_cursor                                       | $01:CAE2 - $01:CAF3 | $00CAE2 - $00CAF3 | Code    |     18 |
| _menu_shop_quantity_handle_input                                      | $01:CAF4 - $01:CB5A | $00CAF4 - $00CB5A | Code    |    103 |
| _menu_command_save                                                    | $01:CB5B - $01:CC0C | $00CB5B - $00CC0C | Code    |    178 |
| _menu_save_backup                                                     | $01:CC0D - $01:CC22 | $00CC0D - $00CC22 | Code    |     22 |
| _menu_save_restore                                                    | $01:CC23 - $01:CC33 | $00CC23 - $00CC33 | Code    |     17 |
| _menu_save_get_checksum                                               | $01:CC34 - $01:CC5A | $00CC34 - $00CC5A | Code    |     39 |
| save_offset_data                                                      | $01:CC5B - $01:CC69 | $00CC5B - $00CC69 | Data    |     15 |
| _menu_big_chocobo                                                     | $01:CC6A - $01:CC87 | $00CC6A - $00CC87 | Code    |     30 |
| _menu_item_whistle                                                    | $01:CC88 - $01:CCC5 | $00CC88 - $00CCC5 | Code    |     62 |
| _play_audio_track                                                     | $01:CCC6 - $01:CCD2 | $00CCC6 - $00CCD2 | Code    |     13 |
| _menu_big_chocobo_core                                                | $01:CCD3 - $01:CD3D | $00CCD3 - $00CD3D | Code    |    107 |
| _menu_big_chocobo_init                                                | $01:CD3E - $01:CD5A | $00CD3E - $00CD5A | Code    |     29 |
| _menu_big_chocobo_handle_command_menu                                 | $01:CD5B - $01:CDFC | $00CD5B - $00CDFC | Code    |    162 |
| menu_big_chocobo_command_handler_offset_data                          | $01:CDFD - $01:CE00 | $00CDFD - $00CE00 | Data    |      4 |
| menu_big_chocobo_irq_handler                                          | $01:CE01 - $01:CE55 | $00CE01 - $00CE55 | Code    |     85 |
| _menu_big_chocobo_handle_command_give                                 | $01:CE56 - $01:CE70 | $00CE56 - $00CE70 | Code    |     27 |
| _menu_big_chocobo_handle_inventory_menu                               | $01:CE71 - $01:CF53 | $00CE71 - $00CF53 | Code    |    227 |
| _menu_big_chocobo_inventory_update_cursor                             | $01:CF54 - $01:CF7A | $00CF54 - $00CF7A | Code    |     39 |
| _menu_big_chocobo_inventory_get_cursor_offset                         | $01:CF7B - $01:CF8B | $00CF7B - $00CF8B | Code    |     17 |
| _menu_big_chocobo_give_item                                           | $01:CF8C - $01:CFCE | $00CF8C - $00CFCE | Code    |     67 |
| __menu_big_chocobo_give_item_done                                     | $01:CFCF - $01:CFCF | $00CFCF - $00CFCF | Code    |      1 |
| __menu_big_chocobo_give_item_next                                     | $01:CFD0 - $01:CFEE | $00CFD0 - $00CFEE | Code    |     31 |
| _menu_big_chocobo_take_item                                           | $01:CFEF - $01:D026 | $00CFEF - $00D026 | Code    |     56 |
| _menu_big_chocobo_draw_current_inventory                              | $01:D027 - $01:D034 | $00D027 - $00D034 | Code    |     14 |
| _menu_big_chocobo_handle_command_take                                 | $01:D035 - $01:D056 | $00D035 - $00D056 | Code    |     34 |
| _menu_load_portrait_big_chocobo                                       | $01:D057 - $01:D069 | $00D057 - $00D069 | Code    |     19 |
| _menu_load_portrait                                                   | $01:D06A - $01:D0AD | $00D06A - $00D0AD | Code    |     68 |
| _menu_set_portrait_oam                                                | $01:D0AE - $01:D0BE | $00D0AE - $00D0BE | Code    |     17 |
| _menu_big_chocobo_update_character_sprite_poses                       | $01:D0BF - $01:D0E5 | $00D0BF - $00D0E5 | Code    |     39 |
| _menu_character_sprite_set_cheering_if_can_equip                      | $01:D0E6 - $01:D102 | $00D0E6 - $00D102 | Code    |     29 |
| _menu_character_sprite_set_first_poses_normal                         | $01:D103 - $01:D116 | $00D103 - $00D116 | Code    |     20 |
| _menu_command_custom                                                  | $01:D117 - $01:D175 | $00D117 - $00D175 | Code    |     95 |
| _menu_custom_core                                                     | $01:D176 - $01:D334 | $00D176 - $00D334 | Code    |    447 |
| _menu_custom_draw_slider                                              | $01:D335 - $01:D346 | $00D335 - $00D346 | Code    |     18 |
| menu_custom_slider_tile_data                                          | $01:D347 - $01:D34F | $00D347 - $00D34F | Data    |      9 |
| menu_custom_rgb_cursor_index_offset_data                              | $01:D350 - $01:D355 | $00D350 - $00D355 | Data    |      6 |
| _menu_custom_calculate_window_color                                   | $01:D356 - $01:D378 | $00D356 - $00D378 | Code    |     35 |
| _menu_custom_set_rgb_indexes                                          | $01:D379 - $01:D39A | $00D379 - $00D39A | Code    |     34 |
| _audio_set_stereo_mono                                                | $01:D39B - $01:D3AC | $00D39B - $00D3AC | Code    |     18 |
| _menu_custom_joypad_set_confirm_cancel_menu_cursor_x_coordinate       | $01:D3AD - $01:D3B6 | $00D3AD - $00D3B6 | Code    |     10 |
| menu_custom_joypad_confirm_cancel_menu_cursor_x_coordinate_data       | $01:D3B7 - $01:D3BB | $00D3B7 - $00D3BB | Data    |      5 |
| menu_custom_joypad_l_start_cursor_x_coordinate_data                   | $01:D3BC - $01:D3BF | $00D3BC - $00D3BF | Data    |      4 |
| _menu_custom_get_two_option_cursor_x_coordinate                       | $01:D3C0 - $01:D3CA | $00D3C0 - $00D3CA | Code    |     11 |
| _audio_toggle_stereo_mono                                             | $01:D3CB - $01:D3D5 | $00D3CB - $00D3D5 | Code    |     11 |
| _config_toggle_single_multi                                           | $01:D3D6 - $01:D3DE | $00D3D6 - $00D3DE | Code    |      9 |
| _config_toggle_normal_custom                                          | $01:D3DF - $01:D3EA | $00D3DF - $00D3EA | Code    |     12 |
| menu_custom_joypad_limit_value_data                                   | $01:D3EB - $01:D3EF | $00D3EB - $00D3EF | Data    |      5 |
| _menu_custom_joypad_get_position_value_cursor                         | $01:D3F0 - $01:D3F2 | $00D3F0 - $00D3F2 | Code    |      3 |
| _menu_custom_joypad_get_position_value_direct                         | $01:D3F3 - $01:D400 | $00D3F3 - $00D400 | Code    |     14 |
| _menu_get_position_character_id                                       | $01:D401 - $01:D410 | $00D401 - $00D410 | Code    |     16 |
| menu_custom_joypad_selector_controller_index_coordinate_data          | $01:D411 - $01:D41A | $00D411 - $00D41A | Data    |     10 |
| _menu_custom_initialize_number_tile_flags                             | $01:D41B - $01:D433 | $00D41B - $00D433 | Code    |     25 |
| _menu_set_custom_joypad                                               | $01:D434 - $01:D448 | $00D434 - $00D448 | Code    |     21 |
| menu_custom_cursor_y_coordinate_data                                  | $01:D449 - $01:D44E | $00D449 - $00D44E | Data    |      6 |
| _menu_spoils                                                          | $01:D44F - $01:D4AE | $00D44F - $00D4AE | Code    |     96 |
| _menu_spoils_execute                                                  | $01:D4AF - $01:D4F6 | $00D4AF - $00D4F6 | Code    |     72 |
| _menu_spoils_select_command                                           | $01:D4F7 - $01:D543 | $00D4F7 - $00D543 | Code    |     77 |
| _menu_spoils_draw_command_cursor                                      | $01:D544 - $01:D556 | $00D544 - $00D556 | Code    |     19 |
| _menu_spoils_take_all                                                 | $01:D557 - $01:D5E5 | $00D557 - $00D5E5 | Code    |    143 |
| _menu_spoils_redraw_inventory                                         | $01:D5E6 - $01:D5FA | $00D5E6 - $00D5FA | Code    |     21 |
| _menu_spoils_main_loop                                                | $01:D5FB - $01:D617 | $00D5FB - $00D617 | Code    |     29 |
| _menu_spoils_exchange                                                 | $01:D618 - $01:D6A6 | $00D618 - $00D6A6 | Code    |    143 |
| _menu_spoils_exchange_second_item                                     | $01:D6A7 - $01:D768 | $00D6A7 - $00D768 | Code    |    194 |
| _menu_spoils_exchange_item                                            | $01:D769 - $01:D7BF | $00D769 - $00D7BF | Code    |     87 |
| __menu_spoils_redraw_inventory                                        | $01:D7C0 - $01:D7C2 | $00D7C0 - $00D7C2 | Code    |      3 |
| _unused_menu_spoils_reset_spoils_inventory_x                          | $01:D7C3 - $01:D7CD | $00D7C3 - $00D7CD | Code    |     11 |
| _menu_spoils_check_for_key_items                                      | $01:D7CE - $01:D7FC | $00D7CE - $00D7FC | Code    |     47 |
| _menu_spoils_draw_title_and_commands                                  | $01:D7FD - $01:D80D | $00D7FD - $00D80D | Code    |     17 |
| menu_window_namingway_character_portrait_data                         | $01:D80E - $01:D811 | $00D80E - $00D811 | Data    |      4 |
| menu_window_namingway_character_name_data                             | $01:D812 - $01:D815 | $00D812 - $00D815 | Data    |      4 |
| menu_window_namingway_character_sets_data                             | $01:D816 - $01:D819 | $00D816 - $00D819 | Data    |      4 |
| menu_window_namingway_characters_data                                 | $01:D81A - $01:D81D | $00D81A - $00D81D | Data    |      4 |
| menu_window_party_details_data                                        | $01:D81E - $01:D821 | $00D81E - $00D821 | Data    |      4 |
| menu_window_main_gp_data                                              | $01:D822 - $01:D825 | $00D822 - $00D825 | Data    |      4 |
| menu_window_main_time_data                                            | $01:D826 - $01:D829 | $00D826 - $00D829 | Data    |      4 |
| menu_window_main_command_data                                         | $01:D82A - $01:D868 | $00D82A - $00D868 | Data    |     63 |
| menu_text_save_data                                                   | $01:D869 - $01:D86D | $00D869 - $00D86D | Data    |      5 |
| menu_text_magic_title_data                                            | $01:D86E - $01:D875 | $00D86E - $00D875 | Data    |      8 |
| menu_text_swoon_data                                                  | $01:D876 - $01:D87B | $00D876 - $00D87B | Data    |      6 |
| menu_namingway_character_sets_data                                    | $01:D87C - $01:D8CB | $00D87C - $00D8CB | Data    |     80 |
| menu_namingway_character_set_index_cursor_y_coordinate_data           | $01:D8CC - $01:D8CD | $00D8CC - $00D8CD | Data    |      2 |
| menu_text_namingway_character_sets_data                               | $01:D8CE - $01:D8D9 | $00D8CE - $00D8D9 | Data    |     12 |
| menu_namingway_character_sets_offset_data                             | $01:D8DA - $01:D8DF | $00D8DA - $00D8DF | Data    |      6 |
| menu_window_sell_inventory_data                                       | $01:D8E0 - $01:D8E3 | $00D8E0 - $00D8E3 | Data    |      4 |
| menu_window_item_title_right_data                                     | $01:D8E4 - $01:D8E7 | $00D8E4 - $00D8E7 | Data    |      4 |
| menu_window_item_description_data                                     | $01:D8E8 - $01:D8EB | $00D8E8 - $00D8EB | Data    |      4 |
| menu_window_item_message_data                                         | $01:D8EC - $01:D8EF | $00D8EC - $00D8EF | Data    |      4 |
| menu_text_item_message_no_need_data                                   | $01:D8F0 - $01:D8FA | $00D8F0 - $00D8FA | Data    |     11 |
| menu_text_item_message_failed_data                                    | $01:D8FB - $01:D905 | $00D8FB - $00D905 | Data    |     11 |
| menu_window_item_title_data                                           | $01:D906 - $01:D909 | $00D906 - $00D909 | Data    |      4 |
| menu_text_item_data                                                   | $01:D90A - $01:D910 | $00D90A - $00D910 | Data    |      7 |
| DATA_01D911                                                           | $01:D911 - $01:D91E | $00D911 - $00D91E | Data    |     14 |
| menu_text_item_whom_data                                              | $01:D91F - $01:D926 | $00D91F - $00D926 | Data    |      8 |
| menu_text_cannot_use_here_data                                        | $01:D927 - $01:D939 | $00D927 - $00D939 | Data    |     19 |
| menu_text_nothing_here_data                                           | $01:D93A - $01:D949 | $00D93A - $00D949 | Data    |     16 |
| menu_window_item_target_left_data                                     | $01:D94A - $01:D94D | $00D94A - $00D94D | Data    |      4 |
| menu_window_item_target_right_data                                    | $01:D94E - $01:D951 | $00D94E - $00D951 | Data    |      4 |
| menu_window_magic_cannot_use_data                                     | $01:D952 - $01:D962 | $00D952 - $00D962 | Data    |     17 |
| menu_window_magic_list_data                                           | $01:D963 - $01:D966 | $00D963 - $00D966 | Data    |      4 |
| menu_window_magic_character_details_position_0_data                   | $01:D967 - $01:D97A | $00D967 - $00D97A | Data    |     20 |
| menu_window_magic_spell_list_selection_data                           | $01:D97B - $01:D97E | $00D97B - $00D97E | Data    |      4 |
| menu_window_magic_target_selection_data                               | $01:D97F - $01:D982 | $00D97F - $00D982 | Data    |      4 |
| menu_window_magic_whom_data                                           | $01:D983 - $01:D986 | $00D983 - $00D986 | Data    |      4 |
| menu_window_magic_details_data                                        | $01:D987 - $01:D98A | $00D987 - $00D98A | Data    |      4 |
| menu_text_need_mp_data                                                | $01:D98B - $01:D98C | $00D98B - $00D98C | Data    |      2 |
| menu_text_need_mp_direct_data                                         | $01:D98D - $01:D994 | $00D98D - $00D994 | Data    |      8 |
| menu_text_magic_whom_data                                             | $01:D995 - $01:D99C | $00D995 - $00D99C | Data    |      8 |
| menu_window_equip_character_stats_position_offset_data                | $01:D99D - $01:D9A6 | $00D99D - $00D9A6 | Data    |     10 |
| menu_window_equip_character_stats_position_0_data                     | $01:D9A7 - $01:D9AA | $00D9A7 - $00D9AA | Data    |      4 |
| menu_window_equip_character_stats_position_1_data                     | $01:D9AB - $01:D9AE | $00D9AB - $00D9AE | Data    |      4 |
| menu_window_equip_character_stats_position_2_data                     | $01:D9AF - $01:D9B2 | $00D9AF - $00D9B2 | Data    |      4 |
| menu_window_equip_character_stats_position_3_data                     | $01:D9B3 - $01:D9B6 | $00D9B3 - $00D9B6 | Data    |      4 |
| menu_window_equip_character_stats_position_4_data                     | $01:D9B7 - $01:D9BA | $00D9B7 - $00D9BA | Data    |      4 |
| menu_window_equip_equipment_data                                      | $01:D9BB - $01:D9E3 | $00D9BB - $00D9E3 | Data    |     41 |
| DATA_01D9E4                                                           | $01:D9E4 - $01:D9F1 | $00D9E4 - $00D9F1 | Data    |     14 |
| menu_window_two_handed_error_data                                     | $01:D9F2 - $01:DA16 | $00D9F2 - $00DA16 | Data    |     37 |
| menu_window_status_data                                               | $01:DA17 - $01:DA1A | $00DA17 - $00DA1A | Data    |      4 |
| menu_window_status_portrait_title_data                                | $01:DA1B - $01:DA1E | $00DA1B - $00DA1E | Data    |      4 |
| menu_text_status_title_data                                           | $01:DA1F - $01:DA27 | $00DA1F - $00DA27 | Data    |      9 |
| menu_text_status_text_data                                            | $01:DA28 - $01:DAB5 | $00DA28 - $00DAB5 | Data    |    142 |
| menu_text_status_for_level_up_data                                    | $01:DAB6 - $01:DAC4 | $00DAB6 - $00DAC4 | Data    |     15 |
| menu_window_shop_gp_data                                              | $01:DAC5 - $01:DAC8 | $00DAC5 - $00DAC8 | Data    |      4 |
| menu_window_shop_buy_sell_exit_data                                   | $01:DAC9 - $01:DACC | $00DAC9 - $00DACC | Data    |      4 |
| menu_window_shop_name_data                                            | $01:DACD - $01:DAD0 | $00DACD - $00DAD0 | Data    |      4 |
| menu_window_shop_greeting_data                                        | $01:DAD1 - $01:DAD8 | $00DAD1 - $00DAD8 | Data    |      8 |
| menu_window_shop_character_sprites_data                               | $01:DAD9 - $01:DADC | $00DAD9 - $00DADC | Data    |      4 |
| shop_name_data                                                        | $01:DADD - $01:DAF4 | $00DADD - $00DAF4 | Data    |     24 |
| menu_text_shop_greeting_buy_sell_exit_data                            | $01:DAF5 - $01:DB17 | $00DAF5 - $00DB17 | Data    |     35 |
| menu_text_shop_which_one_quantity_data                                | $01:DB18 - $01:DB24 | $00DB18 - $00DB24 | Data    |     13 |
| menu_text_shop_quantity_data                                          | $01:DB25 - $01:DB2F | $00DB25 - $00DB2F | Data    |     11 |
| menu_text_shop_party_gp_data                                          | $01:DB30 - $01:DB31 | $00DB30 - $00DB31 | Data    |      2 |
| menu_text_shop_party_gp_text_only_data                                | $01:DB32 - $01:DB34 | $00DB32 - $00DB34 | Data    |      3 |
| menu_window_shop_full_inventory_data                                  | $01:DB35 - $01:DB61 | $00DB35 - $00DB61 | Data    |     45 |
| menu_window_shop_not_enough_gp_data                                   | $01:DB62 - $01:DB88 | $00DB62 - $00DB88 | Data    |     39 |
| menu_window_shop_thank_you_data                                       | $01:DB89 - $01:DB99 | $00DB89 - $00DB99 | Data    |     17 |
| menu_window_shop_confirmation_data                                    | $01:DB9A - $01:DBBB | $00DB9A - $00DBBB | Data    |     34 |
| menu_text_shop_sell_shopkeeper_data                                   | $01:DBBC - $01:DBCE | $00DBBC - $00DBCE | Data    |     19 |
| menu_text_shop_gp_overflow_data                                       | $01:DBCF - $01:DBD5 | $00DBCF - $00DBD5 | Data    |      7 |
| menu_window_save_slot_data                                            | $01:DBD6 - $01:DBD9 | $00DBD6 - $00DBD9 | Data    |      4 |
| menu_window_save_new_game_data                                        | $01:DBDA - $01:DBDD | $00DBDA - $00DBDD | Data    |      4 |
| menu_text_new_game_data                                               | $01:DBDE - $01:DBE8 | $00DBDE - $00DBE8 | Data    |     11 |
| DATA_01DBE9                                                           | $01:DBE9 - $01:DBF7 | $00DBE9 - $00DBF7 | Data    |     15 |
| menu_window_save_confirm_data                                         | $01:DBF8 - $01:DBFB | $00DBF8 - $00DBFB | Data    |      4 |
| menu_window_save_time_data                                            | $01:DBFC - $01:DBFF | $00DBFC - $00DBFF | Data    |      4 |
| menu_window_save_gp_data                                              | $01:DC00 - $01:DC03 | $00DC00 - $00DC03 | Data    |      4 |
| menu_text_load_confirm_data                                           | $01:DC04 - $01:DC12 | $00DC04 - $00DC12 | Data    |     15 |
| menu_text_save_yes_no_data                                            | $01:DC13 - $01:DC1D | $00DC13 - $00DC1D | Data    |     11 |
| menu_text_save_time_data                                              | $01:DC1E - $01:DC1F | $00DC1E - $00DC1F | Data    |      2 |
| menu_text_time_direct_data                                            | $01:DC20 - $01:DC24 | $00DC20 - $00DC24 | Data    |      5 |
| menu_text_empty_data                                                  | $01:DC25 - $01:DC26 | $00DC25 - $00DC26 | Data    |      2 |
| menu_text_empty_direct_data                                           | $01:DC27 - $01:DC2C | $00DC27 - $00DC2C | Data    |      6 |
| menu_text_save_title_data                                             | $01:DC2D - $01:DC33 | $00DC2D - $00DC33 | Data    |      7 |
| menu_text_save_cancelled_data                                         | $01:DC34 - $01:DC40 | $00DC34 - $00DC40 | Data    |     13 |
| menu_text_save_done_data                                              | $01:DC41 - $01:DC48 | $00DC41 - $00DC48 | Data    |      8 |
| menu_text_save_confirm_data                                           | $01:DC49 - $01:DC57 | $00DC49 - $00DC57 | Data    |     15 |
| menu_text_save_cancel_data                                            | $01:DC58 - $01:DC60 | $00DC58 - $00DC60 | Data    |      9 |
| menu_window_save_done_data                                            | $01:DC61 - $01:DC64 | $00DC61 - $00DC64 | Data    |      4 |
| menu_window_namingway_yes_no_data                                     | $01:DC65 - $01:DC81 | $00DC65 - $00DC81 | Data    |     29 |
| menu_text_namingway_whose_name_data                                   | $01:DC82 - $01:DC8F | $00DC82 - $00DC8F | Data    |     14 |
| DATA_01E089                                                           | $01:DC90 - $01:DC97 | $00DC90 - $00DC97 | Data    |      8 |
| menu_text_namingway_yes_no_data                                       | $01:DC98 - $01:DCA0 | $00DC98 - $00DCA0 | Data    |      9 |
| menu_text_namingway_very_well_data                                    | $01:DCA1 - $01:DCAD | $00DCA1 - $00DCAD | Data    |     13 |
| menu_window_namingway_dialog_data                                     | $01:DCAE - $01:DCB1 | $00DCAE - $00DCB1 | Data    |      4 |
| menu_window_namingway_name_data                                       | $01:DCB2 - $01:DCB5 | $00DCB2 - $00DCB5 | Data    |      4 |
| menu_window_big_chocobo_dialog_data                                   | $01:DCB6 - $01:DCB9 | $00DCB6 - $00DCB9 | Data    |      4 |
| menu_window_big_chocobo_inventory_data                                | $01:DCBA - $01:DCBD | $00DCBA - $00DCBD | Data    |      4 |
| menu_window_big_chocobo_command_menu_data                             | $01:DCBE - $01:DCCE | $00DCBE - $00DCCE | Data    |     17 |
| menu_text_big_chocobo_what_do_you_want_data                           | $01:DCCF - $01:DCE2 | $00DCCF - $00DCE2 | Data    |     20 |
| menu_text_big_chocobo_did_you_call_me_data                            | $01:DCE3 - $01:DCF5 | $00DCE3 - $00DCF5 | Data    |     19 |
| menu_text_big_chocobo_what_ll_you_give_me_data                        | $01:DCF6 - $01:DD0C | $00DCF6 - $00DD0C | Data    |     23 |
| menu_text_big_chocobo_what_are_you_taking_data                        | $01:DD0D - $01:DD23 | $00DD0D - $00DD23 | Data    |     23 |
| menu_text_big_chocobo_im_full_data                                    | $01:DD24 - $01:DD2F | $00DD24 - $00DD2F | Data    |     12 |
| menu_text_big_chocobo_clean_your_bag_data                             | $01:DD30 - $01:DD46 | $00DD30 - $00DD46 | Data    |     23 |
| menu_window_custom_title_data                                         | $01:DD47 - $01:DD4A | $00DD47 - $00DD4A | Data    |      4 |
| menu_text_customizer_data                                             | $01:DD4B - $01:DD57 | $00DD4B - $00DD57 | Data    |     13 |
| menu_window_custom_data                                               | $01:DD58 - $01:DDBC | $00DD58 - $00DDBC | Data    |    101 |
| menu_window_custom_joypad_data                                        | $01:DDBD - $01:DDC0 | $00DDBD - $00DDC0 | Data    |      4 |
| UNKNOWN_01DDC1                                                        | $01:DDC1 - $01:DDC4 | $00DDC1 - $00DDC4 | Data    |      4 |
| menu_window_custom_joypad_selector_data                               | $01:DDC5 - $01:DDC8 | $00DDC5 - $00DDC8 | Data    |      4 |
| menu_window_spoils_command_data                                       | $01:DDC9 - $01:DDCC | $00DDC9 - $00DDCC | Data    |      4 |
| menu_window_spoils_spoil_inventory_data                               | $01:DDCD - $01:DDD0 | $00DDCD - $00DDD0 | Data    |      4 |
| menu_window_spoils_header_data                                        | $01:DDD1 - $01:DDE6 | $00DDD1 - $00DDE6 | Data    |     22 |
| menu_text_spoils_take_all_data                                        | $01:DDE7 - $01:DDF1 | $00DDE7 - $00DDF1 | Data    |     11 |
| menu_text_spoils_exchange_data                                        | $01:DDF2 - $01:DDFC | $00DDF2 - $00DDFC | Data    |     11 |
| menu_window_important_items_remain_data                               | $01:DDFD - $01:DE19 | $00DDFD - $00DE19 | Data    |     29 |
| menu_window_item_learned_data                                         | $01:DE1A - $01:DE27 | $00DE1A - $00DE27 | Data    |     14 |
| menu_text_numbers_1_6_data                                            | $01:DE28 - $01:DE33 | $00DE28 - $00DE33 | Data    |     12 |
| menu_text_equip_handedness_data                                       | $01:DE34 - $01:DE54 | $00DE34 - $00DE54 | Data    |     33 |
| UNUSED_01DE55                                                         | $01:DE55 - $01:E2FF | $00DE55 - $00E2FF | Unused  |   1195 |
| battle_animate_cast_effect_white_call                                 | $01:E300 - $01:E3BC | $00E300 - $00E3BC | Code    |    189 |
| _battle_effect_cast_update_oam                                        | $01:E3BD - $01:E3EF | $00E3BD - $00E3EF | Code    |     51 |
| _battle_set_effect_oam                                                | $01:E3F0 - $01:E41B | $00E3F0 - $00E41B | Code    |     44 |
| _battle_reset_effect_oam_large                                        | $01:E41C - $01:E420 | $00E41C - $00E420 | Code    |      5 |
| battle_effect_animate_dark_wave                                       | $01:E421 - $01:E4CE | $00E421 - $00E4CE | Code    |    174 |
| _battle_effect_set_sine_adjusted_oam_entry                            | $01:E4CF - $01:E4E3 | $00E4CF - $00E4E3 | Code    |     21 |
| _battle_effect_dark_wave_shift_effect_oam                             | $01:E4E4 - $01:E505 | $00E4E4 - $00E505 | Code    |     34 |
| _battle_effect_spell_white_set_oam_entry                              | $01:E506 - $01:E50A | $00E506 - $00E50A | Code    |      5 |
| _battle_effect_set_oam_entry                                          | $01:E50B - $01:E534 | $00E50B - $00E534 | Code    |     42 |
| _battle_effect_spell_white_shift_and_mirror_oam                       | $01:E535 - $01:E53A | $00E535 - $00E53A | Code    |      6 |
| _battle_shift_sixteen_effect_oam                                      | $01:E53B - $01:E558 | $00E53B - $00E558 | Code    |     30 |
| _battle_mirror_sixteen_effect_oam                                     | $01:E559 - $01:E578 | $00E559 - $00E578 | Code    |     32 |
| battle_animate_spell_white                                            | $01:E579 - $01:E69B | $00E579 - $00E69B | Code    |    291 |
| battle_effect_spell_animate_reeling                                   | $01:E69C - $01:E6F7 | $00E69C - $00E6F7 | Code    |     92 |
| _battle_effect_spell_fire3_splatter_update_oam                        | $01:E6F8 - $01:E763 | $00E6F8 - $00E763 | Code    |    108 |
| _battle_effect_spell_fire3_splatter_update_pair                       | $01:E764 - $01:E799 | $00E764 - $00E799 | Code    |     54 |
| battle_effect_spell_fire3_animate_splatter                            | $01:E79A - $01:E818 | $00E79A - $00E818 | Code    |    127 |
| battle_effect_spell_fire3_splatter_pair_sine_delta_data               | $01:E819 - $01:E81C | $00E819 - $00E81C | Data    |      4 |
| _battle_get_next_rng                                                  | $01:E81D - $01:E825 | $00E81D - $00E825 | Code    |      9 |
| battle_effect_fire3_update_coordinate_offsets                         | $01:E826 - $01:E85C | $00E826 - $00E85C | Code    |     55 |
| battle_effect_fire3_update_sprites                                    | $01:E85D - $01:E8BC | $00E85D - $00E8BC | Code    |     96 |
| draw_battle_background                                                | $01:E8BD - $01:E904 | $00E8BD - $00E904 | Code    |     72 |
| _set_x_to_a_times_256                                                 | $01:E905 - $01:E90B | $00E905 - $00E90B | Code    |      7 |
| _draw_battle_background_base                                          | $01:E90C - $01:E957 | $00E90C - $00E957 | Code    |     76 |
| _draw_battle_background_section                                       | $01:E958 - $01:E987 | $00E958 - $00E987 | Code    |     48 |
